Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary
Cryptologic Computer Scientist 2,Leidos,"Odenton, MD","Computer science, Operating systems, Calculus, Data structures, Research","bachelor, associate, master, education, degree, doctor","2 years, 5 years, 3 years, 7 years",,$126K - $228K (Employer est.)
AI Research Scientist,Ribo Consulting Services Co. Ltd,Remote,"Mandarin, Computer science, MATLAB, Image processing, Data mining",phd,3+ years,,$160K (Employer est.)
Computer Scientist,Federal Bureau of Investigation,"Houston, TX","Calculus, Leadership","bachelor, ph.d, education, graduate, doctor, degree, master","full years, two years",,$60K - $158K (Employer est.)
"Nonproliferation Research Scientist, Advanced",Savannah River National Laboratory,"Aiken, SC",,,,,$92K - $136K (Glassdoor est.)
Migration Research Fellow,United Nations Development Programme (UNDP),Remote,"English, Research, IV insertion, Analysis skills","bachelor, degree, education, master",,,
Applied Scientist,Adobe,"San Jose, CA","Research, Machine learning, AI, Video editing, Communication skills","bachelor, degree, education, master",,,$143K - $258K (Employer est.)
Advanced AI Research Scientist Manager,Accenture,"Mountain View, CA","TensorFlow, Statistics, Computer science, C++, Machine learning","bachelor, phd, degree","5 years, 12 years",,
Cryptanalytic Computer Scientist 1,RealmOne,Maryland,"Computer science, Calculus, Encryption, Computer skills, Cybersecurity","bachelor, associate, degree, education","4 years, 2 years",,$80K - $130K (Employer est.)
Computer Scientist,Adobe,"San Jose, CA","Photography, Adobe Photoshop, Adobe Lightroom, Computer vision, Mobile applications","b.s., m.s., phd, graduate, degree",,,$143K - $258K (Employer est.)
Cryptologic Computer Scientist 3,RealmOne,Maryland,"Computer science, Operating systems, Calculus, Data structures, Computer skills","b.s., m.s., phd, graduate, degree",,,$160K - $225K (Employer est.)
"Research Scientist, Computer Vision",Snapchat,"Los Angeles, CA","Statistics, Computer science, Computer vision, Research, C++",phd,equivalent years,,$147K - $259K (Employer est.)
Applied Scientist - Gaming,Microsoft,"Redmond, WA","TensorFlow, Statistics, Computer science, Computer vision, Research",phd,equivalent years,,$98K - $209K (Employer est.)
