Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary,salary_min,salary_max,salary_avg,salary_type,salary_standardized,state,standardized_title,education_level,experience_level,job_level
Cryptologic Computer Scientist 2,Leidos,"Odenton, MD","Computer science, Operating systems, Calculus, Data structures, Research","bachelor, associate, master, education, degree, doctor","2 years, 5 years, 3 years, 7 years",,$126K - $228K (Employer est.),126000.0,228000.0,177000.0,yearly,177000.0,MD,Computer Scientist,3,3,
AI Research Scientist,Ribo Consulting Services Co. Ltd,Remote,"Mandarin, Computer science, MATLAB, Image processing, Data mining",phd,3+ years,,$160K (Employer est.),160000.0,160000.0,160000.0,yearly,160000.0,Remote,Research Scientist,4,2,
Computer Scientist,Federal Bureau of Investigation,"Houston, TX","Calculus, Leadership","bachelor, ph.d, education, graduate, doctor, degree, master","full years, two years",,$60K - $158K (Employer est.),60000.0,158000.0,109000.0,yearly,109000.0,TX,Computer Scientist,4,,
"Nonproliferation Research Scientist, Advanced",Savannah River National Laboratory,"Aiken, SC",,,,,$92K - $136K (Glassdoor est.),92000.0,136000.0,114000.0,yearly,114000.0,SC,Research Scientist,,,
Migration Research Fellow,United Nations Development Programme (UNDP),Remote,"English, Research, IV insertion, Analysis skills","bachelor, degree, education, master",,,,,,,unknown,,Remote,Other,3,,
Applied Scientist,Adobe,"San Jose, CA","Research, Machine learning, AI, Video editing, Communication skills","bachelor, degree, education, master",,,$143K - $258K (Employer est.),143000.0,258000.0,200500.0,yearly,200500.0,CA,Scientist,3,,
Advanced AI Research Scientist Manager,Accenture,"Mountain View, CA","TensorFlow, Statistics, Computer science, C++, Machine learning","bachelor, phd, degree","5 years, 12 years",,,,,,unknown,,CA,Research Scientist,4,4,
Cryptanalytic Computer Scientist 1,RealmOne,Maryland,"Computer science, Calculus, Encryption, Computer skills, Cybersecurity","bachelor, associate, degree, education","4 years, 2 years",,$80K - $130K (Employer est.),80000.0,130000.0,105000.0,yearly,105000.0,MD,Computer Scientist,2,2,
Computer Scientist,Adobe,"San Jose, CA","Photography, Adobe Photoshop, Adobe Lightroom, Computer vision, Mobile applications","b.s., m.s., phd, graduate, degree",,,$143K - $258K (Employer est.),143000.0,258000.0,200500.0,yearly,200500.0,CA,Computer Scientist,4,,
Cryptologic Computer Scientist 3,RealmOne,Maryland,"Computer science, Operating systems, Calculus, Data structures, Computer skills","b.s., m.s., phd, graduate, degree",,,$160K - $225K (Employer est.),160000.0,225000.0,192500.0,yearly,192500.0,MD,Computer Scientist,4,,
"Research Scientist, Computer Vision",Snapchat,"Los Angeles, CA","Statistics, Computer science, Computer vision, Research, C++",phd,equivalent years,,$147K - $259K (Employer est.),147000.0,259000.0,203000.0,yearly,203000.0,CA,Research Scientist,4,,
Applied Scientist - Gaming,Microsoft,"Redmond, WA","TensorFlow, Statistics, Computer science, Computer vision, Research",phd,equivalent years,,$98K - $209K (Employer est.),98000.0,209000.0,153500.0,yearly,153500.0,WA,Scientist,4,,
AI Research Scientist - Computer Vision,Meta,"Burlingame, CA","Statistics, Computer science, Computer vision, Research, Machine learning","bachelor, phd, associate, degree",,,$147K - $208K (Employer est.),147000.0,208000.0,177500.0,yearly,177500.0,CA,Research Scientist,4,,
