Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary
"Assistant Vice President, Marketing Analytics & Data Science",Navy Federal Credit Union,"Pensacola, FL","Data mining, Word processing, Business development, Analysis skills, Supervising experience","master, education, degree, bachelor",N/A,N/A,$96K - $156K (Glassdoor est.)
Data Scientist - AI Trainer,Outlier Ai,Remote,Math,"phd, degree, bachelor",N/A,N/A,$30.00 - $50.00 Per Hour (Employer est.)
Data Scientist - Research and Development,Nestlé Purina,"Saint Louis, MO","Statistics, Azure, Software deployment, R, Data analysis skills","phd, degree, bachelor",N/A,N/A,$98K - $120K (Employer est.)
Cleared Data Scientist,Noblis,"Chantilly, VA","Jira, TensorFlow, Elasticsearch, Azure, Management","education, degree, certification",3+ years,N/A,$89K - $138K (Employer est.)
Data Scientist - AI Trainer,DataAnnotation,"Bangor, ME","Writing skills, C#, English, SQL, C++","degree, bachelor",N/A,N/A,$40.00 Per Hour (Employer est.)
"Data Scientist, United States - BCG X",Boston Consulting Group,"Chicago, IL","DevOps, Project management, Machine learning, Software development, AI",N/A,N/A,N/A,$110K - $190K (Employer est.)
Senior Data Analyst,Antenna,Remote,"Microsoft Excel, Business intelligence, SQL, Organizational skills",N/A,"(3+ years, 4+ years",N/A,$100K - $125K (Employer est.)
Data Scientist | Pay,Machinify,California,Machine learning,"master, certification","qualifications, years, several years",N/A,$220K - $260K (Employer est.)
Junior Data Scientist,New Light Technologies In,Remote,"R, Data analysis skills, Google Cloud Platform, Tableau, SQL","master, certification","qualifications, years, several years",N/A,N/A
Data Scientist I (Remote),KOHLS,"Menomonee Falls, WI","Computer science, Spark, R, SQL, Product development","master, degree, bachelor",2+ years,N/A,$91K - $128K (Glassdoor est.)
Data Scientist,Mi-Case,Remote,"TensorFlow, Spark, AWS, Analysis skills, Machine learning","master, education, degree, bachelor","7 years, 4+ years, minimum years",N/A,$110K - $130K (Employer est.)
Data Scientist,Schlumberger,"Menlo Park, CA","TensorFlow, Data mining, Signal processing, Big data, Spark","phd, education, degree, certification",N/A,N/A,$115K - $145K (Glassdoor est.)
Data Scientist,Experian,"Costa Mesa, CA","Statistics, Software deployment, R, SQL, Machine learning","education, master, degree",N/A,N/A,$97K - $151K (Employer est.)
Senior-level Data Scientist (IT Architecture Specialist- Plans Support) - CENTCOM,Celestar Corporation,"Tampa, FL",Microsoft Project,"master, certification, education, degree, bachelor, associate","5 years, option years, 17 years, 12 years, 2 years",N/A,N/A
Senior-level Data Scientist (IT Architecture Specialist- Coalition Integration and Exercises) - CENTCOM,Celestar Corporation,"Tampa, FL",System design,"education, master, degree, bachelor","5 years, option years, 17 years, 12 years, 2 years",N/A,N/A
Data Scientist,"Intermedia.net, Inc.",Remote,"Spark, R, SQL, AWS, Analysis skills","master, degree, bachelor","20+ years, 2 years, 3+ years",N/A,N/A
Clinical Data Scientist,Freenome,Remote,"Google Suite, Clinical research, R, HIPAA, Google Cloud Platform","graduate, master, education, degree, bachelor, phd, associate","3 years, level, years, 5 years",N/A,$118K - $181K (Employer est.)
Senior Data Scientist,Philip Morris International,"Stamford, CT","Computer science, Power BI, Microsoft Excel, R, Data analysis skills","master, degree, bachelor",N/A,N/A,$148K - $185K (Employer est.)
"Data Scientists (San Francisco, CA)",CyberCube,"San Francisco, CA","Elasticsearch, Spark, NoSQL, AWS, S3","master, degree, bachelor",N/A,N/A,$126K - $136K (Employer est.)
eCommerce Data Scientist,"Travelpro Products, Inc.","Boca Raton, FL","Power BI, R, Data analysis skills, E-commerce, Tableau","certification, associate, degree, bachelor",10 years,N/A,$103K - $152K (Glassdoor est.)
Data Scientist - Applied AI,TikTok,"San Jose, CA","TensorFlow, CI/CD, Statistics, Data modeling, Spark",N/A,1-3 years,N/A,$121K - $183K (Glassdoor est.)
AI/Machine Learning Engineer,Oddball,Remote,"TensorFlow, CI/CD, Azure, FedRAMP, Medicare","certificate, master, certification, education, degree, bachelor, ph.d","3+ years, 4 years, 7+ years",N/A,$140K - $170K (Employer est.)
Data Scientist – NLP,Solytics Partners LLC,"New York, NY","Statistics, MATLAB, Cassandra, R, NoSQL","master, certification, education, bachelor, phd","4 years, 5+ years",N/A,$90K - $120K (Employer est.)
