Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary
Senior C# Developer,Precision Systems,Remote,"Crystal Reports, Visual Basic, DevOps, C#, Microsoft SQL Server",N/A,N/A,N/A,N/A
Software Development Manager,Uline,"Pleasant Prairie, WI","Java, Application development, Scrum, Software development, Agile",N/A,N/A,N/A,$121K - $185K (Employer est.)
Entry Level Software Developer,Property Matrix,"Culver City, CA","CSS, Software troubleshooting, React, Web development, Selenium","degree, bachelor",N/A,entry level,$50K - $80K (Employer est.)
Software Developer - AI Trainer,DataAnnotation,"Troy, NY","Writing skills, C#, English, SQL, C++","degree, bachelor",N/A,entry level,$40.00 Per Hour (Employer est.)
Distinguished Engr-Software Development,Verizon,"Miami, FL","Computer science, Elasticsearch, Node.js, JUnit, Cassandra","degree, bachelor",N/A,entry level,$141K - $263K (Employer est.)
Software Engineers,CCC Information Services Inc.,"Chicago, IL","CI/CD, Oracle, CSS, Git, J2EE","degree, bachelor",2 years,N/A,$87K - $91K (Employer est.)
Full Stack Developer 1,OPERS,"Columbus, OH","Java, SQL, Analysis skills, JavaScript, REST","associate, degree, education, bachelor",4 years,N/A,$70K (Employer est.)
Jr. Software Developer,WinShape Foundation,"Rome, GA","Azure, CSS, React, C#, Git","degree, bachelor",N/A,N/A,$66K - $104K (Glassdoor est.)
Software Engineer III - Secret/Top Secret Clearance,Chickasaw Nation Industries,"Fort Meade, MD","Computer science, Software troubleshooting, SAS, R","certification, degree, education, bachelor",(5) years,N/A,N/A
Software Developer,Oak Ridge Schools,"Oak Ridge, TN","Computer science, Power BI, Data modeling, Management, CSS","degree, associate",N/A,N/A,$78K - $104K (Glassdoor est.)
Full-Stack Software Developer,Maps Credit Union,"Salem, OR","Azure, Web development, DevOps, C#, iOS","degree, education",five years,N/A,$120K - $150K (Employer est.)
Software Developer,Taskmaster Technologies INC,California,"Go, Sales, Data structures, Microsoft SQL Server, SQL",N/A,"(4+ years, (6+ years",N/A,N/A
.Net Developer (Active Federal Government Security Clearance Required),"NexGen Technologies, Inc",Remote,"ASP.NET, Computer science, SAFe, Azure, MVC",N/A,"(4+ years, (6+ years",N/A,$85K - $125K (Employer est.)
Senior Software Engineer,Rocket Software,Remote,"Computer science, TestNG, CSS, Data structures, Git","degree, education, bachelor, certificate",5 years,N/A,$104K - $130K (Employer est.)
