Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary
Backend Developer,Confidential,"Louisville, KY","CI/CD, DevOps, Microsoft SQL Server, REST, Django","degree, bachelor","more years, 2 years",N/A,$50.00 - $52.00 Per Hour (Employer est.)
Software Development Manager,Uline,"Pleasant Prairie, WI","Java, Application development, Scrum, Software development, Agile","degree, education, bachelor",10+ years,N/A,$121K - $185K (Employer est.)
Entry Level Software Developer,Property Matrix,"Culver City, CA","CSS, Software troubleshooting, React, Web development, Selenium","degree, bachelor",N/A,entry level,$50K - $80K (Employer est.)
Senior Software Engineer,Rocket Software,Remote,"Computer science, TestNG, CSS, Data structures, Git","degree, education, bachelor, certificate",5 years,N/A,$104K - $130K (Employer est.)
Software Engineers,CCC Information Services Inc.,"Chicago, IL","CI/CD, Oracle, CSS, Git, J2EE","degree, bachelor",2 years,N/A,$87K - $91K (Employer est.)
Software Engineer(Front-End),Disney Entertainment & ESPN Technology,"New York, NY","Computer science, Node.js, React, JavaScript",N/A,"for years, 3+ years",N/A,$115K - $169K (Employer est.)
Lead Django Backend Engineer,TextMe,"San Francisco, CA","Cloud infrastructure, Cassandra, Test-driven development, AWS, Redis",N/A,"for years, 3+ years",N/A,$100K - $200K (Employer est.)
Full Stack Software Engineer - Backend Focus,Elevation Proving Grounds,Remote,"CI/CD, SFTP, Elasticsearch, Cloud infrastructure, Operating systems",N/A,5+ years,N/A,$100K - $120K (Employer est.)
Mobile Software Engineer - AI Trainer,DataAnnotation,Remote,"Writing skills, C#, English, SQL, C++","degree, bachelor",N/A,N/A,$40.00 Per Hour (Employer est.)
Lead Front-End React Engineer,Bellwood Labs,Remote,"CI/CD, Microsoft Excel, React, Microservices, AWS","degree, bachelor",N/A,N/A,$110K - $140K (Employer est.)
Software Engineer,Alkami,Remote,"CI/CD, Computer science, Go, Kubernetes, Software deployment","degree, certification, master, bachelor",2-4 years,N/A,$98K - $148K (Employer est.)
Software Engineer,Adobe,"Lehi, UT","Computer science, Azure, CSS, React, AWS","degree, bachelor",3–5 years,N/A,$113K - $206K (Employer est.)
Software Engineer,DonorView,"Marlborough, MA","ASP.NET, MVC, C#, Microsoft SQL Server, .NET",N/A,N/A,N/A,$85K (Employer est.)
Senior Electrical/Embedded Engineer,Scanogen Inc.,"Windsor Mill, MD","MATLAB, Microsoft Excel, CAD, Electrical engineering, Electrical experience","degree, bachelor","6+ years, 6 years",N/A,$110K - $150K (Employer est.)
Software Engineer - Frontend Development,Metron,"Reston, VA","Web design, Node.js, CSS, React, Java","degree, bachelor","6+ years, 6 years",N/A,$116K - $174K (Glassdoor est.)
Software Engineer II,U.S. House of Representatives,"Washington, DC","CI/CD, Computer science, CSS, React, Kubernetes","degree, bachelor",more years,mid-level,$104K - $128K (Employer est.)
Software Engineer C#,Techunting,"Stafford, TX","C#, Network protocols, Computer networking",degree,7 years,N/A,$71K - $117K (Glassdoor est.)
Aircraft Software Certification Engineer (FLRAA V-280),Bell Textron Inc.,"Fort Worth, TX","Management, Military, Microsoft Office, C, Communication skills","degree, certification, master, bachelor",5 years,N/A,$73K - $105K (Glassdoor est.)
Software Engineers,SNH Capital Partners,"Austin, TX","Node.js, PostgreSQL, REST, AI","degree, certification, master, bachelor",5 years,N/A,$84K - $135K (Glassdoor est.)
