Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary
Cryptologic Computer Scientist 2,Leidos,"Odenton, MD","Top Secret Clearance, Computer science, Operating systems, Calculus, TS/SCI, Data structures, Research, Discrete math","Doctoral degree, Master's degree, Bachelor's degree, Associate's degree",2 years,Senior level,"$126,100 - $227,950 a year"
Mid-level Computer Scientist - FICA,Celestar Corporation,"Charlottesville, VA","Data mining, TS/SCI, Analysis skills, Machine learning",Bachelor's degree,6 years,Senior level,N/A
Senior-level Computer Scientist - FICA,Celestar Corporation,"Charlottesville, VA","Data mining, TS/SCI, Machine learning",Bachelor's degree,10 years,Senior level,N/A
Linguist Technical Research Scientist,Peraton,"Silver Spring, MD",N/A,N/A,N/A,N/A,"$112,000 - $179,000 a year"
Summer Associate- HHX,Howard Hughes,"The Woodlands, TX","TensorFlow, Computer Science, PyTorch, Git, Analysis skills, Machine learning, Software development, AI, Machine learning frameworks, Communication skills, Data Science",N/A,N/A,Entry level,N/A
Senior Research Scientist - Software Defined Radio,Peraton,"College Park, MD","Machine learning, 4G/LTE","Doctoral degree, Bachelor of Science, Master's degree, Bachelor's degree, Doctor of Philosophy",3 years,Senior level,"$146,000 - $234,000 a year"
Advanced AI Research Scientist Manager,Accenture,"Mountain View, CA",N/A,N/A,N/A,N/A,N/A
Autonomy and Perception Engineer,"General Technical Services, LLC","Adelphi, MD","Research laboratory experience, MATLAB, Neural networks, Computer vision, Drone operation, Secret Clearance, Research, C++, Machine learning, Object detection, Deep learning, CNN, Natural language processing, OpenCV, Robot programming, Robotics, Robotics, Communication skills, Python","Doctoral degree, Master's degree, Doctor of Philosophy",5 years,Senior level,N/A
Post-doctoral Fellowship - Ground Deformation Recorded by Geodetic Techniques,FM,"Norwood, MA","ArcGIS, MATLAB, Geophysics, Data analysis skills, Research, Java, Machine learning, Risk management, Cloud computing, Communication skills, Python, GIS","Doctoral degree, Doctor of Philosophy",3 years,Senior level,"$90,720 - $130,400 a year"
Computer Scientist VI,JT4,"Edwards, CA","CSS, C#, .NET, SQL, Driver's License, C, JavaScript, Systems engineering, Django, Software development, Computer skills, ASP, Communication skills, Python, WPF, HTML","Doctoral degree, Master's degree, Doctor of Philosophy",N/A,Senior level,"$140,670 - $168,812 a year"
Energy Research Scientist - AI Trainer,DataAnnotation,Remote,"Bilingual, English, Physics, Chemistry, AI","Doctoral degree, Master's degree, Doctor of Philosophy",N/A,Mid-level,From $40 an hour
Academic Research Assistant (Mathematics)- AI Trainer,DataAnnotation,Remote,"Calculus, English, Algebra, Data science, AI","Doctoral degree, Master's degree, Doctor of Philosophy",N/A,Mid-level,From $40 an hour
Applied Mathematician / Math Research (PhD Req),"VOCAL Technologies, Ltd.","Buffalo, NY","Signal processing, Calculus, Mathematics, Research, Analysis skills, Math, Algorithm design, Physics, Software development, Research & development","Doctoral degree, Doctor of Philosophy",N/A,Senior level,"$60,000 - $90,000 a year"
Applied Research Scientist,EdgeTech,"West Wareham, MA",N/A,N/A,N/A,N/A,"$100,000 - $110,000 a year"
Computer Scientist,"INQU,LLC","Edwards AFB, CA","C#, Microsoft SQL Server, .NET, AWS, Driver's License, C, Systems engineering, Organizational skills, Software development, Computer skills, Communication skills, Python","Doctoral degree, Master's degree, Bachelor's degree, Doctor of Philosophy",11+ years,Senior level,"$110,000 - $170,000 a year"
Critical Infrastructure Protection Staff – AI/ML Decision Science,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD",N/A,N/A,N/A,N/A,"$90,000 - $350,000 a year"
