Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary
Data Scientist - AI Trainer,DataAnnotation,"Savannah, GA","Writing skills, C#, English, SQL, C++, JavaScript, Software development, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
Data scientist,Medcillary,"San Francisco, CA",N/A,N/A,N/A,N/A,$65 - $70 an hour
Data Scientist,Experian,"Costa Mesa, CA","Statistics, RNN, Software deployment, R, Algorithms, SQL, Machine learning, Model deployment, Deep learning, CNN, Natural language processing, APIs, Regression analysis, Linux, Python, Data Science",Master's degree,N/A,Mid-level,"$96,678 - $151,230 a year"
Customer Data Scientist,Statsig,"Bellevue, WA","SQL, Communication skills, Python",N/A,2 years,Mid-level,"$130,000 - $145,000 a year"
AI/ML Developer - AI Trainer,DataAnnotation,"Denver, CO","Writing skills, C#, English, SQL, C++, JavaScript, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
Associate Data Science Analyst - AI&I Department,Mayo Clinic,"Jacksonville, FL","Data mining, Customer service, Analysis skills, Supervising experience, Machine learning, Data management, Data science, Data visualization, AI, Communication skills, Time management",Bachelor's degree,N/A,Entry level,"$74,859 - $112,195 a year"
Atmospheric Data Scientist,UC San Diego,"San Diego, CA","MATLAB, Writing skills, Fortran, Statistical analysis, Analysis skills, C++, Presentation skills, C, Scripting, Linux, Python, Shell Scripting, Time management","Doctoral degree, Bachelor's degree, Doctor of Philosophy",N/A,Senior level,$40.90 - $75.10 an hour
Machine Learning Engineer - Early in Career,Splunk,California,"TensorFlow, Law, Computer Science, Software Engineering, PyTorch, Big data, Research, Machine learning, Distributed systems, Splunk, AI, Communication skills, Python","Master's degree, Bachelor's degree",N/A,Entry level,N/A
Data Scientist - AI Trainer,Outlier Ai,Remote,"Mathematics, Math",Bachelor's degree,N/A,Mid-level,$30 - $50 an hour
Data Scientist,Ochsner Health System,"New Orleans, LA","Data mining, Computer Science, SAS, R, SQL, Machine learning, XGBoost, Regression analysis, Data science, Data visualization, AI, Communication skills, Python, Data Science, Analytics","Master's degree, Bachelor's degree",2 years,Mid-level,N/A
