Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary
Software Developer - AI Trainer,DataAnnotation,"Albany, NY","Writing skills, C#, English, SQL, C++, JavaScript, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
Junior Developer - Part-time (Vue.js),Teutonic Transportation,"Sharon Hill, PA","RESTful API, DevOps, Git, SQL, AWS, Docker, JavaScript, Redis, Ruby, APIs, Vue.js, Playwright, TypeScript, MySQL",N/A,N/A,Entry level,$50 an hour
Software Developer - AI Trainer (Contract),DataAnnotation,"Greensboro, NC","Writing skills, C#, English, SQL, C++, JavaScript, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
Software Engineer,Bushel,United States,"Kotlin, React, C#, Java, Angular, APIs, Vue.js, TypeScript, Python",N/A,1 year,Mid-level,"$75,000 - $90,000 a year"
Software Developer - C#,Siemens,"Grand Prairie, TX","ASP.NET, System administration, Microsoft Excel, Microsoft Access, Node.js, Computer Science, CSS, React, Internet of things, Full-stack development, IIS, Software deployment, DevOps, Data structures, C#, Microsoft SQL Server, Windows, Microsoft Office, SQL, Docker, C, JavaScript, Distributed systems, Product management, Software development, Agile, Unit testing, Electrical Engineering, ASP, Multithreading, Entity Framework, HTML","Master's degree, Bachelor's degree",1 year,Mid-level,"$67,480 - $115,680 a year"
Frontend Developer,Stier Solutions,"Salt Lake City, UT","Computer Science, CSS, React, RESTful API, Kanban, Jest, AWS, JavaScript, SASS, Redux, Computer Information Systems, APIs, IT, S3, Less, GraphQL, Playwright, HTML, Information Technology",Bachelor's degree,N/A,Mid-level,N/A
Software Development Engineer,Adobe,"San Jose, CA","Spring Boot, Computer science, React, Relational databases, Java, Application development, SQL, Analysis skills, JavaScript, PostgreSQL, REST, Software development, Python, Spring, SDLC",Bachelor's degree,N/A,Mid-level,"$113,400 - $206,300 a year"
Senior Software Developer (contract),Pfizer,Remote,"CI/CD, Azure, R, Git, SQL, AWS, Quality control, Software development, GitHub, Cloud computing, Linux, Python, Time management","Master's degree, Master of Science",1 year,Mid-level,$41 - $51 an hour
Software Engineer,Amex,"Phoenix, AZ","Spring Boot, CI/CD, Cloud architecture, JUnit, Software deployment, Cucumber, Test automation, Selenium, J2EE, Java, Microservices, SOAP, SQL, Docker, Splunk, REST, Software development, GitHub, APIs, Web services, Unit testing, GraphQL, PL/SQL, Jenkins, Spring, Spring MVC",N/A,3 years,Mid-level,"$85,000 - $150,000 a year"
Software Engineer - AI Trainer,DataAnnotation,"Tallahassee, FL",N/A,N/A,N/A,N/A,From $40 an hour
Senior Firmware Engineer I,Neptune Technology Group Inc.,"Duluth, GA","Jira, FTP, TCP, Schematics, R, Firmware, System design, Microcontrollers, C++, Project management, C, Network protocols, Continuous integration, Computer networking, Scrum, Organizational skills, Unity, Agile, Linux, Unit testing, TCP/IP, Electrical Engineering, Communication skills, Python, Debugging, 4G/LTE","Bachelor of Science, Master's degree, Bachelor's degree, Master of Science",7 years,Senior level,N/A
Software Development Team Lead - Web,Uline,"Pleasant Prairie, WI","CI/CD, ASP.NET, MVC, Computer Science, Full-stack development, C#, OOP, JavaScript, Leadership, Information Technology",Bachelor's degree,8 years,Senior level,"$121,000 - $160,000 a year"
Machine Learning Engineer - Early in Career,Splunk,California,"TensorFlow, Law, Computer Science, Software Engineering, PyTorch, Big data, Research, Machine learning, Distributed systems, Splunk, AI, Communication skills, Python","Master's degree, Bachelor's degree",N/A,Entry level,N/A
Full Stack Developer- AI Trainer,DataAnnotation,"Bend, OR","Writing skills, C#, English, SQL, C++, JavaScript, Software development, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
IT Junior Developer,First Horizon Bank,"Memphis, TN","Computer Science, XML, Java, SOAP, SQL, JavaScript, REST, APIs, JSON, Communication skills, Python, Information Technology",Bachelor's degree,N/A,Entry level,N/A
Web development & project management,Workana,United States,"WordPress, PHP, JavaScript, MySQL",N/A,N/A,Entry level,$50 an hour
Software Engineer 1,Onto Innovation,"Milpitas, CA","Computer Science, Software Engineering, Software troubleshooting, Java, C++, JavaScript, Scrum, Software development, Agile, Communication skills, Python","Master's degree, Bachelor's degree",N/A,Entry level,N/A
Application Developer II,Mecklenburg County,"Mecklenburg County, NC","Computer science, Azure, Management, Computer Science, CSS, Software troubleshooting, Relational databases, Enterprise software, DevOps, Visual Studio, C#, Test automation, Microsoft SQL Server, Test-driven development, Build automation, Microsoft Office, Application development, JavaScript, SQL Server Management Studio, Continuous integration, Software development, Agile, IT, Computer skills, HTML, Information Technology, Design patterns",Bachelor's degree,3 years,Mid-level,"$79,862 - $119,791 a year"
Front End Web Developer (React),DTN,Remote,N/A,N/A,N/A,N/A,"$82,500 - $110,000 a year"
Software Engineer,Johnson & Johnson,"Santa Clara, CA","CI/CD, Computer science, Computer Science, Bash, OOP, C++, Computer Engineering, Scripting, Software development, Agile, Linux, Unit testing, Python, Shell Scripting, FDA regulations","Master's degree, Bachelor's degree",1 year,Mid-level,"$101,000 - $162,725 a year"
Software Developer,Oracle,United States,"Computer science, Cloud infrastructure, Oracle, Computer Science, RESTful API, Data structures, Java, Algorithms, C++, Distributed systems, Scripting, Software development, Python, IaaS, Software architecture","Bachelor of Science, Bachelor's degree",N/A,Entry level,N/A
FRONTEND DEVELOPER,"CMHWorks, LLC",Remote,"ASP.NET, CSS, Bootstrap, React, C#, Git, English, Responsive web design, .NET, SQL, AWS, Docker, Ruby on Rails, JavaScript, SCSS, SASS, REST, Angular, GitHub, Front-end development, Less, JSON, Vue.js, TypeScript, jQuery, HTML",N/A,N/A,Mid-level,$25 - $45 an hour
Frontend Engineer,Replay,Remote,"React, VersionOne, APIs, UI, Figma, TypeScript, Communication skills",N/A,3 years,Mid-level,N/A
2025034 Software Engineer,John Deere,"Moline, IL","Spring Boot, CI/CD, Computer science, Computer Science, JUnit, RESTful API, XML, DB2, Software deployment, Test-driven development, Java, SQL, AWS, JPA, REST, Software development, APIs, Scalability, Agile, JSON, Service-oriented architecture, Root cause analysis, Log analysis, Jenkins, GitLab, Communication skills, Data manipulation, Python, Spring, Design patterns",Bachelor's degree,1 year,Mid-level,"$97,000 - $107,000 a year"
Software Development Activity,Netheart Technology,Remote,No experience needed,N/A,N/A,Entry level,Up to $1 a year
Application Developer - AI Trainer,DataAnnotation,"Springfield, IL","Writing skills, C#, English, SQL, C++, JavaScript, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
Enterprise Software Developer - AI Trainer,DataAnnotation,Remote,"Writing skills, C#, English, SQL, C++, JavaScript, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
Software Development Engineer - Front-end,Adobe,"Lehi, UT","Computer science, React, JavaScript, TypeScript, Communication skills, SDLC",Bachelor's degree,1 year,Mid-level,"$93,200 - $170,600 a year"
Software Engineer – Entry Level,"General Dynamics Mission Systems, Inc","Scottsdale, AZ",N/A,N/A,N/A,N/A,"$82,200 - $84,200 a year"
Software Engineer(Front-End),Disney Entertainment & ESPN Technology,"New York, NY","Computer science, Node.js, React, JavaScript","Bachelor of Science, Bachelor's degree",3 years,Mid-level,"$114,900 - $168,700 a year"
