Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary
Software Engineer - AI Trainer,DataAnnotation,"Fort Wayne, IN","Writing skills, C#, English, SQL, C++, JavaScript, Software development, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
Software Engineer/ Admin,"Federal Foam Technologies, Inc.","New Richmond, WI","Azure, EDI, Software troubleshooting, DevOps, C#, ERP systems, SSRS, Microsoft Office, SQL, OOP, Process mapping, Data analytics, Organizational skills, Agile, Communication skills, Help desk, SDLC","Bachelor's degree, Bachelor of Arts",3 years,Mid-level,"$94,400 - $102,667 a year"
Embedded Controls Software Engineer - Automotive,Bill Austin and Associates,"Columbus, IN","Statistics, MATLAB, Microsoft Excel, Full-stack development, Engineering, Data analysis skills, Engine controls, Microsoft Office, Algorithms, C++, Emission control systems, C, Embedded software, Simulink, Physics, Automotive diagnostics","Bachelor of Science, Bachelor's degree",3 years,Mid-level,N/A
Software Engineer,Johnson & Johnson,"Santa Clara, CA","CI/CD, Computer science, Computer Science, Bash, OOP, C++, Computer Engineering, Scripting, Software development, Agile, Linux, Unit testing, Python, Shell Scripting, FDA regulations","Master's degree, Bachelor's degree",1 year,Mid-level,"$101,000 - $162,725 a year"
Software Development Engineer 30,Adobe,"San Jose, CA","Computer science, Elasticsearch, Azure, NoSQL, Snowflake, Java, Microservices, AWS, Analysis skills, Machine learning, Cloud development, PostgreSQL, Redis, REST, Software development, Agile, AI, Communication skills, Python, Generative AI, MySQL, SDLC",Bachelor's degree,3 years,Mid-level,"$113,400 - $206,300 a year"
Software Engineer,Amex,"Phoenix, AZ","Spring Boot, CI/CD, Cloud architecture, JUnit, Software deployment, Cucumber, Test automation, Selenium, J2EE, Java, Microservices, SOAP, SQL, Docker, Splunk, REST, Software development, GitHub, APIs, Web services, Unit testing, GraphQL, PL/SQL, Jenkins, Spring, Spring MVC",N/A,3 years,Mid-level,"$85,000 - $150,000 a year"
Sr. Software Quality Engineer w active TS/SCI Poly,Leidos,"Annapolis Junction, MD",N/A,N/A,N/A,N/A,"$112,450 - $203,275 a year"
Junior Developer - Part-time (Vue.js),Teutonic Transportation,"Sharon Hill, PA","RESTful API, DevOps, Git, SQL, AWS, Docker, JavaScript, Redis, Ruby, APIs, Vue.js, Playwright, TypeScript, MySQL",N/A,N/A,Entry level,$50 an hour
Aircraft Software Certification Engineer (FLRAA V-280),Bell Textron Inc.,"Fort Worth, TX",N/A,N/A,N/A,N/A,N/A
Building Automation Engineer,Novo Nordisk,"West Lebanon, NH","Microsoft Powerpoint, Microsoft Word, AutoCAD, Biotechnology, System administration, Microsoft Excel, GAMP, Engineering, Construction, Visio, GMP, Windows, Microsoft Office, Supervising experience, Ethernet, Systems engineering, Network architecture, Communication skills, FDA regulations","Bachelor's degree, Associate's degree",7 years,Senior level,N/A
Software Developer - AI Trainer,DataAnnotation,"Albany, NY","Writing skills, C#, English, SQL, C++, JavaScript, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
Associate Cloud Software Engineer,Lenovo,"Morrisville, NC","Spring Boot, Azure, Computer Science, React, DevOps, Engineering, Data structures, Git, Google Cloud Platform, MongoDB, Java, OOP, AWS, Distributed systems, REST, Angular, Software development, Agile, Web services, Communication skills","Master's degree, Bachelor's degree",Under 1 year,Entry level,N/A
Associate Software Engineer,WEX Inc.,"Portland, ME","CI/CD, Computer science, Cloud infrastructure, Azure, Go, Computer Science, Software Engineering, Kubernetes, Java, AWS, C++, Docker, C, Machine learning, AI, Communication skills, Python",Bachelor's degree,N/A,Entry level,"$68,000 - $90,000 a year"
Software Developer - AI Trainer (Contract),DataAnnotation,"Greensboro, NC",N/A,N/A,N/A,N/A,From $40 an hour
Software Engineer,Adobe,"Lehi, UT","Computer science, Azure, Computer Science, CSS, React, AWS, JavaScript, Front-end development, Communication skills, HTML",Bachelor's degree,3 years,Mid-level,"$113,400 - $206,300 a year"
Software Engineer(Front-End),Disney Entertainment & ESPN Technology,"New York, NY","Computer science, Node.js, React, JavaScript","Bachelor of Science, Bachelor's degree",3 years,Mid-level,"$114,900 - $168,700 a year"
Full Stack Developer- AI Trainer,DataAnnotation,"Bend, OR","Writing skills, C#, English, SQL, C++, JavaScript, Software development, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
Backend Software Engineer - AI Trainer,DataAnnotation,"Joliet, IL","Writing skills, C#, English, SQL, C++, JavaScript, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
Back End Developer- AI Trainer,DataAnnotation,"Boulder, CO","Writing skills, C#, English, SQL, C++, JavaScript, Software development, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
Software Engineer (Frontend) - Early in Career,Splunk,Colorado,"CI/CD, Backbone.js, Computer Science, CSS, Software Engineering, React, Big data, DevOps, Jest, Git, JavaScript, Product management, Splunk, Redux, Agile, TypeScript, Communication skills, jQuery","Master's degree, Bachelor's degree",Under 1 year,Entry level,"$119,200 - $163,900 a year"
Software Developer,Oracle,United States,"Computer science, Cloud infrastructure, Oracle, Computer Science, RESTful API, Data structures, Java, Algorithms, C++, Distributed systems, Scripting, Software development, Python, IaaS, Software architecture","Bachelor of Science, Bachelor's degree",N/A,Entry level,N/A
Software Engineer – Entry Level,"General Dynamics Mission Systems, Inc","Scottsdale, AZ","Software Engineering, Math, Software development, Agile, Debugging",Bachelor's degree,N/A,Entry level,"$82,200 - $84,200 a year"
Software Engineer - Test Engineering (Hybrid/Onsite),Visa,"Foster City, CA","Sales, Visual Studio, Data structures, Mathematics, Java, Bash, Analysis skills, Back-end development, Scripting, Organizational skills, Linux, Python, Shell Scripting",Bachelor's degree,2 years,Mid-level,"$94,000 - $132,950 a year"
Software Engineer,Lowe's,"Charlotte, NC",N/A,N/A,N/A,N/A,"$75,300 - $143,100 a year"
Machine Learning Engineer - Early in Career,Splunk,California,"TensorFlow, Law, Computer Science, Software Engineering, PyTorch, Big data, Research, Machine learning, Distributed systems, Splunk, AI, Communication skills, Python","Master's degree, Bachelor's degree",N/A,Entry level,N/A
Software Engineer,UKG,"Lowell, MA","Jira, CI/CD, Computer science, Azure, Computer Science, JUnit, Big data, DevOps, Test automation, Selenium, Git, Google Cloud Platform, Responsive web design, Java, AWS, Analysis skills, Machine learning, JavaScript, Product management, Software development, GitHub, APIs, Agile, Training & development, AI, Communication skills, Design patterns",Bachelor's degree,2 years,Mid-level,"$86,100 - $123,800 a year"
2025034 Software Engineer,John Deere,"Moline, IL","Spring Boot, CI/CD, Computer science, Computer Science, JUnit, RESTful API, XML, DB2, Software deployment, Test-driven development, Java, SQL, AWS, JPA, REST, Software development, APIs, Scalability, Agile, JSON, Service-oriented architecture, Root cause analysis, Log analysis, Jenkins, GitLab, Communication skills, Data manipulation, Python, Spring, Design patterns",Bachelor's degree,1 year,Mid-level,"$97,000 - $107,000 a year"
Software Engineer,Ford Motor Company,"Dearborn, MI","CI/CD, Law, Computer Science, React, Kubernetes, Google Cloud Platform, Analysis skills, Docker, Machine learning, Terraform, GitHub, Agile, AI, Python, Generative AI",Bachelor's degree,2 years,Mid-level,N/A
Frontend Engineer,Replay,Remote,"React, VersionOne, APIs, UI, Figma, TypeScript, Communication skills",N/A,3 years,Mid-level,N/A
Software Engineer- Java/ Microservices,Lowe's,"Charlotte, NC",N/A,N/A,N/A,N/A,"$75,300 - $143,100 a year"
Software Engineer,Allstate,Illinois,"Spring Boot, CI/CD, Authentication, Management, Gradle, RESTful API, Git, MongoDB, Java, Microservices, Distributed systems, Continuous integration, REST, APIs, Agile, Kafka, Maven, Jenkins, Python, Spring",N/A,3 years,Mid-level,"$66,800 - $120,650 a year"
Frontend Software Engineer - AI Trainer,DataAnnotation,"Arvada, CO",N/A,N/A,N/A,N/A,From $40 an hour
Software Engineer-IT Manufacturing,Ford Motor Company,"Dearborn, MI","Spring Boot, CI/CD, Management, Computer Science, Management Information Systems, RESTful API, XML, Full-stack development, Test-driven development, Java, SOAP, Analysis skills, JavaScript, REST, Computer Engineering, Angular, Software development, GitHub, Agile, IT, Service-oriented architecture, TypeScript, Design patterns",Bachelor's degree,2 years,Mid-level,N/A
Front-End Developer- AI Trainer,DataAnnotation,"Allentown, PA","Writing skills, C#, English, SQL, C++, JavaScript, Swift, AI, Grammar Experience, Python, HTML",Bachelor's degree,N/A,Mid-level,From $40 an hour
